ID;Section 5 of 6 [I am always prepared.];Section 5 of 6 [I am easily disturbed.];Section 5 of 6 [I am exacting (demanding) in my work.];Section 5 of 6 [I am full of ideas.];Section 5 of 6 [I am interested in people.];Section 5 of 6 [I am not interested in abstract ideas.];Section 5 of 6 [I am not interested in other people's problems.];Section 5 of 6 [I am not really interested in others.];Section 5 of 6 [I am quick to understand things.];Section 5 of 6 [I am quiet around strangers.];Section 5 of 6 [I am relaxed most of the time.];Section 5 of 6 [I am the life of the party.];Section 5 of 6 [I change my mood a lot.];Section 5 of 6 [I do not have a good imagination.];Section 5 of 6 [I don't like to draw attention to myself.];Section 5 of 6 [I don't mind being the center of attention.];Section 5 of 6 [I don't talk a lot.];Section 5 of 6 [I feel comfortable around people.];Section 5 of 6 [I feel little concern for others.];Section 5 of 6 [I feel others' emotions.];Section 5 of 6 [I follow a schedule.];Section 5 of 6 [I get chores done right away.];Section 5 of 6 [I get irritated easily.];Section 5 of 6 [I get stressed out easily.];Section 5 of 6 [I get upset easily.];Section 5 of 6 [I have a rich vocabulary.];Section 5 of 6 [I have a soft (kind) heart.];Section 5 of 6 [I have a vivid imagination.];Section 5 of 6 [I have difficulty understanding abstract ideas.];Section 5 of 6 [I have excellent ideas.];Section 5 of 6 [I have frequent mood swings.];Section 5 of 6 [I have little to say.];Section 5 of 6 [I insult people.];Section 5 of 6 [I keep in the background.];Section 5 of 6 [I leave my belongings lying around.];Section 5 of 6 [I like order.];Section 5 of 6 [I make a mess of things.];Section 5 of 6 [I make people feel at ease.];Section 5 of 6 [I neglect my duties.];Section 5 of 6 [I often feel blue (down).];Section 5 of 6 [I often forget to put things back in their proper place];Section 5 of 6 [I pay attention to details.];Section 5 of 6 [I seldom feel blue (down).];Section 5 of 6 [I spend time reflecting on things.];Section 5 of 6 [I start conversations.];Section 5 of 6 [I sympathize with others' feelings.];Section 5 of 6 [I take time out for others.];Section 5 of 6 [I talk to a lot of different people at parties.];Section 5 of 6 [I use difficult words.];Section 5 of 6 [I worry about things.];;;;;;;;;;;;;;;;;;;IPIP_HIGH_RISK
10;(3, 5);(4, 5);(3, 1);(5, 5);(2, 5);(5, 5);(2, 5);(2, 5);(5, 5);(1, 3);(4, 5);(1, 1);(4, 3);(5, 5);(1, 3);(1, 3);(1, 3);(1, 5);(2, 1);(2, 5);(3, 5);(3, 5);(4, 5);(4, 3);(4, 5);(5, 5);(2, 5);(5, 3);(5, 3);(5, 5);(4, 1);(1, 1);(2, 5);(1, 3);(3, 5);(3, 5);(3, 5);(2, 5);(3, 5);(4, 5);(3, 5);(3, 5);(4, 3);(5, 3);(1, 5);(2, 5);(2, 3);(1, 3);(5, 1);(4, 3);;;;;;;;;;;;;;;;;;;
11;(3, 5);(4, 5);(3, 5);(5, 5);(2, 3);(5, 5);(2, 3);(2, 3);(5, 5);(1, 3);(4, 1);(1, 1);(4, 1);(5, 3);(1, 1);(1, 1);(1, 5);(1, 3);(2, 3);(2, 3);(3, 5);(3, 3);(4, 1);(4, 1);(4, 1);(5, 5);(2, 5);(5, 3);(5, 5);(5, 5);(4, 1);(1, 5);(2, 5);(1, 1);(3, 5);(3, 5);(3, 5);(2, 3);(3, 5);(4, 3);(3, 5);(3, 5);(4, 5);(5, 5);(1, 3);(2, 5);(2, 3);(1, 1);(5, 5);(4, 1);;;;;;;;;;;;;;;;;;;
12;(3, 5);(4, 3);(3, 3);(5, 3);(2, 5);(5, 5);(2, 5);(2, 5);(5, 5);(1, 5);(4, 1);(1, 3);(4, 1);(5, 5);(1, 1);(1, 1);(1, 5);(1, 5);(2, 1);(2, 5);(3, 5);(3, 3);(4, 1);(4, 1);(4, 1);(5, 3);(2, 5);(5, 5);(5, 3);(5, 5);(4, 3);(1, 3);(2, 5);(1, 3);(3, 3);(3, 3);(3, 3);(2, 5);(3, 5);(4, 3);(3, 3);(3, 3);(4, 5);(5, 3);(1, 5);(2, 5);(2, 5);(1, 5);(5, 1);(4, 1);;;;;;;;;;;;;;;;;;;
13;(3, 3);(4, 3);(3, 5);(5, 5);(2, 5);(5, 5);(2, 3);(2, 5);(5, 5);(1, 3);(4, 5);(1, 3);(4, 5);(5, 5);(1, 5);(1, 1);(1, 3);(1, 5);(2, 5);(2, 3);(3, 3);(3, 3);(4, 5);(4, 5);(4, 5);(5, 3);(2, 5);(5, 3);(5, 5);(5, 5);(4, 5);(1, 3);(2, 5);(1, 3);(3, 5);(3, 5);(3, 5);(2, 3);(3, 5);(4, 5);(3, 5);(3, 5);(4, 1);(5, 3);(1, 3);(2, 3);(2, 3);(1, 3);(5, 3);(4, 3);;;;;;;;;;;;;;;;;;;
14;(3, 5);(4, 5);(3, 3);(5, 5);(2, 3);(5, 3);(2, 3);(2, 3);(5, 3);(1, 1);(4, 3);(1, 3);(4, 1);(5, 5);(1, 3);(1, 1);(1, 3);(1, 3);(2, 5);(2, 5);(3, 1);(3, 3);(4, 1);(4, 1);(4, 3);(5, 3);(2, 5);(5, 5);(5, 3);(5, 5);(4, 1);(1, 3);(2, 5);(1, 1);(3, 5);(3, 5);(3, 5);(2, 3);(3, 5);(4, 1);(3, 5);(3, 5);(4, 1);(5, 3);(1, 3);(2, 5);(2, 3);(1, 3);(5, 1);(4, 1);;;;;;;;;;;;;;;;;;;
15;(3, 5);(4, 5);(3, 1);(5, 5);(2, 5);(5, 3);(2, 1);(2, 3);(5, 5);(1, 5);(4, 5);(1, 1);(4, 3);(5, 5);(1, 5);(1, 5);(1, 1);(1, 3);(2, 1);(2, 5);(3, 5);(3, 5);(4, 3);(4, 3);(4, 3);(5, 3);(2, 5);(5, 1);(5, 5);(5, 5);(4, 5);(1, 3);(2, 5);(1, 3);(3, 5);(3, 5);(3, 5);(2, 5);(3, 5);(4, 3);(3, 5);(3, 5);(4, 1);(5, 5);(1, 5);(2, 5);(2, 3);(1, 5);(5, 1);(4, 3);;;;;;;;;;;;;;;;;;;
16;(3, 5);(4, 3);(3, 3);(5, 1);(2, 5);(5, 5);(2, 5);(2, 5);(5, 5);(1, 3);(4, 1);(1, 1);(4, 5);(5, 5);(1, 3);(1, 3);(1, 3);(1, 3);(2, 5);(2, 5);(3, 5);(3, 5);(4, 3);(4, 5);(4, 3);(5, 5);(2, 3);(5, 5);(5, 5);(5, 5);(4, 5);(1, 3);(2, 5);(1, 3);(3, 5);(3, 5);(3, 5);(2, 5);(3, 5);(4, 5);(3, 5);(3, 5);(4, 1);(5, 3);(1, 5);(2, 3);(2, 5);(1, 1);(5, 3);(4, 3);;;;;;;;;;;;;;;;;;;
17;(3, 5);(4, 5);(3, 3);(5, 3);(2, 5);(5, 5);(2, 3);(2, 5);(5, 1);(1, 5);(4, 1);(1, 1);(4, 5);(5, 5);(1, 3);(1, 1);(1, 3);(1, 5);(2, 3);(2, 3);(3, 5);(3, 5);(4, 5);(4, 5);(4, 5);(5, 3);(2, 3);(5, 3);(5, 5);(5, 1);(4, 5);(1, 5);(2, 5);(1, 3);(3, 5);(3, 3);(3, 5);(2, 3);(3, 5);(4, 5);(3, 3);(3, 5);(4, 3);(5, 5);(1, 3);(2, 3);(2, 3);(1, 3);(5, 1);(4, 3);;;;;;;;;;;;;;;;;;;
18;(3, 5);(4, 1);(3, 5);(5, 5);(2, 5);(5, 5);(2, 3);(2, 3);(5, 5);(1, 1);(4, 3);(1, 1);(4, 1);(5, 5);(1, 1);(1, 1);(1, 3);(1, 3);(2, 1);(2, 3);(3, 5);(3, 3);(4, 1);(4, 1);(4, 1);(5, 3);(2, 5);(5, 3);(5, 5);(5, 5);(4, 1);(1, 1);(2, 5);(1, 5);(3, 3);(3, 3);(3, 1);(2, 5);(3, 5);(4, 3);(3, 3);(3, 3);(4, 1);(5, 5);(1, 5);(2, 5);(2, 5);(1, 3);(5, 3);(4, 1);;;;;;;;;;;;;;;;;;;
19;(3, 3);(4, 1);(3, 5);(5, 5);(2, 3);(5, 5);(2, 5);(2, 3);(5, 5);(1, 1);(4, 3);(1, 1);(4, 1);(5, 5);(1, 1);(1, 1);(1, 1);(1, 3);(2, 5);(2, 5);(3, 3);(3, 3);(4, 3);(4, 3);(4, 1);(5, 5);(2, 5);(5, 3);(5, 3);(5, 5);(4, 3);(1, 5);(2, 5);(1, 3);(3, 5);(3, 5);(3, 5);(2, 1);(3, 5);(4, 5);(3, 3);(3, 5);(4, 3);(5, 5);(1, 1);(2, 5);(2, 3);(1, 1);(5, 3);(4, 1);;;;;;;;;;;;;;;;;;;
20;(3, 5);(4, 3);(3, 5);(5, 5);(2, 5);(5, 5);(2, 5);(2, 5);(5, 5);(1, 1);(4, 5);(1, 3);(4, 5);(5, 1);(1, 1);(1, 3);(1, 3);(1, 5);(2, 5);(2, 5);(3, 5);(3, 5);(4, 5);(4, 5);(4, 5);(5, 3);(2, 5);(5, 3);(5, 5);(5, 3);(4, 5);(1, 3);(2, 5);(1, 1);(3, 5);(3, 5);(3, 5);(2, 5);(3, 5);(4, 5);(3, 5);(3, 5);(4, 1);(5, 5);(1, 5);(2, 5);(2, 5);(1, 5);(5, 1);(4, 3);;;;;;;;;;;;;;;;;;;
21;(3, 5);(4, 3);(3, 1);(5, 5);(2, 3);(5, 5);(2, 5);(2, 5);(5, 3);(1, 5);(4, 3);(1, 1);(4, 5);(5, 5);(1, 3);(1, 1);(1, 5);(1, 3);(2, 1);(2, 3);(3, 3);(3, 5);(4, 5);(4, 5);(4, 5);(5, 3);(2, 3);(5, 5);(5, 5);(5, 3);(4, 5);(1, 5);(2, 5);(1, 3);(3, 5);(3, 3);(3, 3);(2, 1);(3, 5);(4, 3);(3, 5);(3, 3);(4, 3);(5, 5);(1, 5);(2, 3);(2, 3);(1, 3);(5, 3);(4, 3);;;;;;;;;;;;;;;;;;;
22;(3, 5);(4, 3);(3, 5);(5, 5);(2, 5);(5, 5);(2, 5);(2, 5);(5, 5);(1, 1);(4, 5);(1, 3);(4, 1);(5, 5);(1, 1);(1, 1);(1, 3);(1, 3);(2, 1);(2, 5);(3, 5);(3, 5);(4, 3);(4, 5);(4, 5);(5, 5);(2, 5);(5, 5);(5, 5);(5, 5);(4, 3);(1, 5);(2, 5);(1, 5);(3, 5);(3, 5);(3, 5);(2, 5);(3, 5);(4, 3);(3, 5);(3, 5);(4, 1);(5, 5);(1, 5);(2, 5);(2, 5);(1, 3);(5, 3);(4, 1);;;;;;;;;;;;;;;;;;;
23;(3, 3);(4, 5);(3, 3);(5, 5);(2, 3);(5, 5);(2, 5);(2, 5);(5, 5);(1, 3);(4, 5);(1, 5);(4, 3);(5, 3);(1, 1);(1, 1);(1, 3);(1, 3);(2, 5);(2, 5);(3, 5);(3, 5);(4, 3);(4, 5);(4, 5);(5, 3);(2, 5);(5, 5);(5, 5);(5, 3);(4, 3);(1, 3);(2, 5);(1, 3);(3, 5);(3, 5);(3, 5);(2, 5);(3, 5);(4, 5);(3, 5);(3, 5);(4, 3);(5, 5);(1, 3);(2, 5);(2, 3);(1, 3);(5, 1);(4, 1);;;;;;;;;;;;;;;;;;;
24;(3, 3);(4, 5);(3, 1);(5, 3);(2, 5);(5, 5);(2, 5);(2, 5);(5, 5);(1, 1);(4, 3);(1, 1);(4, 5);(5, 5);(1, 5);(1, 1);(1, 1);(1, 3);(2, 1);(2, 5);(3, 5);(3, 1);(4, 5);(4, 3);(4, 5);(5, 3);(2, 5);(5, 1);(5, 5);(5, 3);(4, 5);(1, 5);(2, 5);(1, 5);(3, 5);(3, 3);(3, 5);(2, 5);(3, 5);(4, 5);(3, 5);(3, 5);(4, 1);(5, 5);(1, 5);(2, 5);(2, 5);(1, 1);(5, 1);(4, 5);;;;;;;;;;;;;;;;;;;
25;(3, 5);(4, 3);(3, 1);(5, 5);(2, 5);(5, 3);(2, 3);(2, 1);(5, 5);(1, 3);(4, 5);(1, 1);(4, 5);(5, 3);(1, 1);(1, 3);(1, 1);(1, 3);(2, 1);(2, 3);(3, 3);(3, 5);(4, 5);(4, 3);(4, 3);(5, 3);(2, 3);(5, 3);(5, 3);(5, 5);(4, 1);(1, 1);(2, 1);(1, 1);(3, 3);(3, 5);(3, 5);(2, 1);(3, 5);(4, 5);(3, 5);(3, 5);(4, 3);(5, 3);(1, 3);(2, 5);(2, 3);(1, 3);(5, 1);(4, 1);;;;;;;;;;;;;;;;;;;
26;(3, 5);(4, 5);(3, 5);(5, 5);(2, 5);(5, 5);(2, 5);(2, 5);(5, 5);(1, 1);(4, 5);(1, 3);(4, 3);(5, 5);(1, 1);(1, 5);(1, 5);(1, 5);(2, 5);(2, 5);(3, 3);(3, 3);(4, 5);(4, 3);(4, 3);(5, 5);(2, 5);(5, 5);(5, 5);(5, 5);(4, 5);(1, 5);(2, 5);(1, 5);(3, 5);(3, 3);(3, 5);(2, 3);(3, 5);(4, 5);(3, 1);(3, 5);(4, 5);(5, 5);(1, 5);(2, 5);(2, 3);(1, 5);(5, 3);(4, 3);;;;;;;;;;;;;;;;;;;
27;(3, 5);(4, 3);(3, 5);(5, 5);(2, 5);(5, 5);(2, 5);(2, 5);(5, 5);(1, 1);(4, 1);(1, 1);(4, 1);(5, 5);(1, 3);(1, 3);(1, 5);(1, 3);(2, 5);(2, 5);(3, 1);(3, 5);(4, 1);(4, 1);(4, 1);(5, 5);(2, 5);(5, 5);(5, 5);(5, 5);(4, 3);(1, 5);(2, 5);(1, 3);(3, 1);(3, 3);(3, 1);(2, 3);(3, 5);(4, 1);(3, 1);(3, 5);(4, 1);(5, 5);(1, 3);(2, 5);(2, 5);(1, 1);(5, 3);(4, 1);;;;;;;;;;;;;;;;;;;
28;(3, 3);(4, 5);(3, 5);(5, 5);(2, 5);(5, 1);(2, 5);(2, 1);(5, 3);(1, 3);(4, 5);(1, 5);(4, 1);(5, 5);(1, 5);(1, 1);(1, 3);(1, 5);(2, 1);(2, 5);(3, 5);(3, 1);(4, 5);(4, 5);(4, 3);(5, 3);(2, 3);(5, 3);(5, 5);(5, 3);(4, 5);(1, 3);(2, 5);(1, 1);(3, 3);(3, 5);(3, 5);(2, 5);(3, 5);(4, 5);(3, 3);(3, 3);(4, 1);(5, 1);(1, 5);(2, 5);(2, 5);(1, 5);(5, 1);(4, 3);;;;;;;;;;;;;;;;;;;
29;(3, 5);(4, 5);(3, 5);(5, 5);(2, 5);(5, 1);(2, 5);(2, 5);(5, 5);(1, 3);(4, 5);(1, 1);(4, 5);(5, 5);(1, 3);(1, 1);(1, 5);(1, 5);(2, 1);(2, 5);(3, 5);(3, 5);(4, 5);(4, 5);(4, 3);(5, 5);(2, 5);(5, 5);(5, 5);(5, 5);(4, 5);(1, 5);(2, 5);(1, 3);(3, 5);(3, 5);(3, 3);(2, 5);(3, 5);(4, 5);(3, 1);(3, 5);(4, 3);(5, 5);(1, 5);(2, 5);(2, 3);(1, 3);(5, 1);(4, 1);;;;;;;;;;;;;;;;;;;
30;(3, 3);(4, 5);(3, 1);(5, 5);(2, 5);(5, 5);(2, 5);(2, 5);(5, 5);(1, 5);(4, 3);(1, 5);(4, 5);(5, 5);(1, 3);(1, 3);(1, 3);(1, 5);(2, 1);(2, 5);(3, 3);(3, 5);(4, 3);(4, 3);(4, 5);(5, 3);(2, 5);(5, 5);(5, 5);(5, 5);(4, 5);(1, 5);(2, 5);(1, 5);(3, 5);(3, 5);(3, 5);(2, 5);(3, 5);(4, 5);(3, 5);(3, 5);(4, 3);(5, 3);(1, 5);(2, 5);(2, 5);(1, 3);(5, 1);(4, 1);;;;;;;;;;;;;;;;;;;
31;(3, 5);(4, 5);(3, 5);(5, 5);(2, 3);(5, 5);(2, 5);(2, 5);(5, 5);(1, 3);(4, 3);(1, 3);(4, 5);(5, 5);(1, 1);(1, 5);(1, 5);(1, 3);(2, 1);(2, 3);(3, 5);(3, 5);(4, 5);(4, 3);(4, 3);(5, 5);(2, 5);(5, 5);(5, 5);(5, 5);(4, 5);(1, 5);(2, 5);(1, 5);(3, 5);(3, 5);(3, 5);(2, 3);(3, 5);(4, 3);(3, 5);(3, 5);(4, 3);(5, 1);(1, 5);(2, 5);(2, 5);(1, 5);(5, 1);(4, 3);;;;;;;;;;;;;;;;;;;
32;(3, 5);(4, 5);(3, 3);(5, 5);(2, 3);(5, 5);(2, 3);(2, 5);(5, 5);(1, 1);(4, 5);(1, 3);(4, 5);(5, 5);(1, 5);(1, 1);(1, 3);(1, 3);(2, 3);(2, 3);(3, 5);(3, 5);(4, 5);(4, 5);(4, 5);(5, 5);(2, 3);(5, 5);(5, 5);(5, 5);(4, 5);(1, 5);(2, 5);(1, 1);(3, 5);(3, 3);(3, 5);(2, 5);(3, 5);(4, 3);(3, 5);(3, 5);(4, 1);(5, 3);(1, 5);(2, 3);(2, 3);(1, 3);(5, 3);(4, 3);;;;;;;;;;;;;;;;;;;
33;(3, 5);(4, 5);(3, 3);(5, 5);(2, 5);(5, 5);(2, 5);(2, 5);(5, 5);(1, 5);(4, 1);(1, 5);(4, 3);(5, 5);(1, 5);(1, 5);(1, 5);(1, 5);(2, 5);(2, 3);(3, 5);(3, 5);(4, 5);(4, 1);(4, 5);(5, 5);(2, 5);(5, 5);(5, 3);(5, 5);(4, 3);(1, 5);(2, 5);(1, 1);(3, 5);(3, 5);(3, 3);(2, 5);(3, 3);(4, 3);(3, 5);(3, 5);(4, 3);(5, 5);(1, 5);(2, 5);(2, 5);(1, 5);(5, 1);(4, 1);;;;;;;;;;;;;;;;;;;
34;(3, 3);(4, 3);(3, 1);(5, 1);(2, 5);(5, 5);(2, 3);(2, 5);(5, 1);(1, 3);(4, 3);(1, 1);(4, 3);(5, 5);(1, 3);(1, 3);(1, 3);(1, 1);(2, 5);(2, 3);(3, 1);(3, 1);(4, 3);(4, 3);(4, 3);(5, 3);(2, 3);(5, 1);(5, 5);(5, 1);(4, 5);(1, 3);(2, 1);(1, 3);(3, 1);(3, 3);(3, 5);(2, 3);(3, 5);(4, 1);(3, 1);(3, 1);(4, 3);(5, 1);(1, 3);(2, 1);(2, 3);(1, 5);(5, 3);(4, 3);;;;;;;;;;;;;;;;;;;
35;(3, 3);(4, 5);(3, 5);(5, 3);(2, 5);(5, 5);(2, 1);(2, 1);(5, 3);(1, 3);(4, 1);(1, 1);(4, 5);(5, 3);(1, 3);(1, 3);(1, 1);(1, 5);(2, 1);(2, 3);(3, 5);(3, 3);(4, 5);(4, 3);(4, 3);(5, 3);(2, 5);(5, 3);(5, 3);(5, 3);(4, 5);(1, 3);(2, 5);(1, 3);(3, 5);(3, 3);(3, 5);(2, 3);(3, 5);(4, 3);(3, 3);(3, 5);(4, 1);(5, 3);(1, 3);(2, 5);(2, 3);(1, 1);(5, 3);(4, 1);;;;;;;;;;;;;;;;;;;
36;(3, 3);(4, 3);(3, 1);(5, 5);(2, 1);(5, 5);(2, 5);(2, 5);(5, 5);(1, 3);(4, 5);(1, 1);(4, 5);(5, 5);(1, 1);(1, 1);(1, 3);(1, 5);(2, 5);(2, 5);(3, 3);(3, 5);(4, 5);(4, 3);(4, 5);(5, 3);(2, 5);(5, 3);(5, 3);(5, 3);(4, 5);(1, 5);(2, 5);(1, 5);(3, 1);(3, 5);(3, 5);(2, 5);(3, 5);(4, 3);(3, 5);(3, 5);(4, 3);(5, 3);(1, 3);(2, 5);(2, 5);(1, 1);(5, 3);(4, 1);;;;;;;;;;;;;;;;;;;
