"ID","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8_1","Q8_2","Q8_3","Q8_4","Q8_5","Q8_6","Q8_7","Q8_8","Q8_9","Q8_10","Q8_11","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","Latitude","Longitude","mobile_money","savings","borrowing","insurance","mobile_money_classification"
3007,76,2,1,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,2,-1,2,-1,1,-1,4,4,-8.87183105,34.95540407,0,1,0,0,1
915,19,1,4,3,3,2,1,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,2,-1,2,-1,1,-1,1,4,-5.07269918,38.45452481,1,0,1,0,3
1335,29,2,1,3,5,2,2,0,0,1,0,0,0,0,0,1,0,0,-1,-1,1,1,5,1,4,1,-1,1,1,-7.77454325,35.69337587,1,1,1,0,3
1251,20,2,4,3,4,2,1,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,1,2,2,-1,1,-1,1,3,-6.21997069,39.23239912,1,1,1,0,3
5036,26,2,2,3,5,2,1,1,0,0,0,0,0,0,0,0,0,0,3,-1,-1,1,4,1,5,1,-1,1,1,-1.3240641,31.79062686,1,1,1,0,3
599,44,2,2,3,5,2,1,0,0,1,0,0,0,0,0,0,0,0,-1,-1,5,1,6,1,2,5,-1,5,5,-3.35223512,37.34738616,1,1,1,1,3
794,32,2,4,2,5,2,1,0,1,0,0,0,0,0,0,0,0,0,-1,10,-1,1,2,1,1,3,-1,5,5,-6.81906576,37.64553234,1,1,1,0,3
3158,53,2,2,1,1,2,1,0,1,0,1,0,0,0,0,0,0,0,-1,5,-1,1,3,2,-1,4,-1,1,4,-4.29046851,35.85896743,1,0,0,0,2
3959,46,1,1,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,1,-1,1,4,-2.76226635,33.61667942,1,1,0,0,3
1241,35,2,4,3,4,2,1,0,1,0,0,0,0,0,0,0,0,0,-1,6,-1,1,3,1,4,1,4,1,1,-8.89881746,33.54752,1,0,1,0,3
4986,47,1,2,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,1,-1,1,2,-3.83143513,32.68175493,0,0,1,1,1
4109,20,2,1,1,3,2,2,0,1,0,1,0,0,0,0,0,0,0,-1,1,-1,1,2,2,-1,1,-1,4,4,-8.56809005,32.12579976,1,0,0,0,2
8121,86,1,1,1,3,1,2,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,1,-1,4,4,-11.46744994,36.97928803,0,1,0,0,1
3895,18,1,4,3,5,2,2,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,1,-1,5,1,-4.09021965,34.73737265,0,1,0,0,1
8054,19,1,2,2,3,2,1,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,1,2,2,-1,1,-1,4,4,-10.5117961,38.99460256,1,1,1,0,3
8023,31,2,1,3,5,2,1,0,1,0,1,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,1,-1,4,4,-5.03547203,36.23767486,0,0,1,0,1
6933,30,1,1,2,5,2,2,0,1,0,0,0,0,0,0,0,0,0,-1,4,-1,2,-1,1,4,1,-1,5,5,-2.40257714,32.32959157,1,0,1,0,3
7852,17,2,1,3,5,2,2,0,0,0,0,0,0,0,0,0,1,0,-1,-1,-1,2,-1,2,-1,1,-1,3,3,-3.8083338,32.2274935,0,0,1,1,1
6063,30,2,1,1,3,2,2,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,1,-1,4,4,-8.53949832,32.94378634,0,0,1,0,1
755,37,2,1,6,5,2,1,0,1,0,1,0,0,0,0,0,0,0,-1,1,-1,1,4,1,3,3,-1,1,1,-4.8332572,34.76190104,1,1,1,0,3
6445,38,2,1,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,1,-1,4,4,-5.71743656,38.23601851,1,0,0,0,2
8548,35,1,4,3,4,2,2,0,1,0,0,0,0,0,0,0,0,0,-1,-1,-1,2,-1,2,-1,1,-1,1,4,-8.60398999,39.26018757,1,1,0,0,3
1549,20,2,2,3,3,2,2,1,0,0,0,0,0,0,0,0,0,0,6,-1,-1,2,-1,2,-1,5,-1,1,4,-2.54540703,32.95831634,1,0,0,0,2
6617,29,2,1,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,1,-1,1,1,-3.87132116,35.65140707,0,1,0,0,1
8467,35,1,1,3,1,2,1,1,1,0,1,0,0,0,0,0,0,0,2,1,-1,1,2,2,-1,4,4,1,2,-8.56409232,35.33905815,1,1,1,0,3
4116,46,2,2,3,1,2,1,0,1,0,1,0,0,0,0,1,0,0,-1,1,-1,1,3,1,3,1,-1,1,4,-4.22585093,34.61299078,1,1,1,1,3
8125,25,1,1,3,4,2,2,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,2,-1,1,2,1,-1,1,4,-8.95365989,32.56461543,1,0,0,0,2
1044,31,2,1,1,2,2,2,0,1,0,0,0,1,0,0,0,0,0,-1,1,-1,2,-1,2,-1,1,-1,4,4,-3.99684717,33.37908427,0,1,1,0,1
2535,21,2,1,3,5,2,2,0,1,0,0,0,0,0,0,0,0,0,-1,6,-1,2,-1,2,-1,1,-1,1,4,-2.61146616,32.07196443,0,0,1,0,1
8950,39,2,1,3,5,2,2,0,1,0,1,0,0,0,0,1,0,0,-1,7,-1,2,-1,2,-1,1,-1,1,4,-8.97814972,36.76014005,0,1,1,0,1
6099,23,1,1,2,3,2,1,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,1,6,2,-1,5,-1,1,4,-2.34096694,32.29512438,1,1,1,0,3
5607,21,1,4,3,3,2,1,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,2,-1,1,6,5,-1,1,2,-3.4327519,31.51375467,1,0,1,0,3
8734,25,1,1,3,1,2,2,0,1,0,1,0,0,0,0,0,0,0,-1,4,-1,2,-1,2,-1,1,-1,1,2,-8.12810763,30.96696583,0,0,1,0,1
4734,72,1,1,1,3,2,2,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,1,-1,4,4,-6.2650312,36.86940735,0,0,1,0,1
7776,65,2,2,1,1,2,1,0,1,0,0,0,0,0,1,1,0,0,-1,3,-1,2,-1,1,5,1,-1,4,4,-10.48861938,39.02782579,1,0,1,0,3
9367,54,2,1,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,1,-1,4,4,-4.02596301,34.50822471,0,0,0,0,0
3423,32,1,1,3,1,2,1,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,2,-1,1,1,1,-1,1,4,-8.57148856,33.44991499,1,1,0,0,3
2878,24,1,4,2,5,2,1,0,1,0,0,0,0,0,0,0,0,0,-1,6,-1,1,2,1,3,1,-1,1,4,-2.50670896,32.0118141,1,1,0,0,3
2356,24,2,4,7,1,2,1,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,1,2,1,5,1,1,1,1,-3.363681,36.72002605,1,1,1,0,3
229,34,1,1,6,3,1,1,1,0,0,0,0,0,0,0,0,0,0,1,-1,-1,2,-1,2,-1,4,2,1,1,-6.96839746,39.08681603,1,1,1,1,3
3406,46,2,1,3,3,2,2,0,1,0,1,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,1,-1,1,4,-6.37275189,38.35172048,0,1,1,0,1
771,31,2,1,1,3,2,2,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,2,-1,2,-1,1,-1,4,4,-3.25233472,30.9082292,0,0,0,0,0
580,26,1,4,3,5,2,1,0,0,1,0,0,0,0,0,0,0,0,-1,-1,7,1,3,1,3,1,5,1,4,-10.66296868,35.65686511,1,0,1,0,3
6163,45,2,1,3,1,2,1,0,1,0,1,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,1,-1,1,4,-2.8528492,32.88685392,1,0,1,0,3
6212,31,1,1,6,1,2,1,0,0,1,0,0,0,0,0,0,0,0,-1,-1,7,2,-1,2,-1,1,1,1,5,-10.46735817,36.13244508,1,1,0,0,3
8574,23,1,4,3,3,2,1,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,2,-1,1,5,4,-1,2,2,-6.87575725,39.2326073,1,1,0,0,3
8278,31,2,1,3,4,2,1,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,2,-1,1,2,1,-1,1,4,-6.88329466,39.25354774,1,1,1,0,3
3919,38,2,1,1,5,2,2,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,2,-1,2,-1,1,-1,4,4,-3.821738,33.30840363,0,0,1,0,1
8883,45,1,1,6,1,2,1,1,1,0,1,0,0,0,0,0,0,0,1,1,-1,2,-1,1,2,1,4,1,1,-11.263398,34.79128086,1,1,1,1,3
5677,27,1,1,2,1,2,1,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,1,-1,1,2,-7.85425891,31.1757775,0,0,1,0,1
9209,32,2,1,3,4,2,1,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,1,4,1,3,1,-1,1,3,-4.26860253,38.05357002,1,1,0,0,3
7050,25,1,1,6,1,1,1,0,1,0,1,0,0,0,0,0,0,0,-1,1,-1,2,-1,1,3,5,-1,1,1,-11.40079283,36.42848862,1,0,0,0,2
1531,26,1,2,7,5,1,1,0,0,1,1,0,0,0,0,0,0,0,-1,-1,12,2,-1,1,3,5,-1,1,1,-6.14814684,39.2228004,1,0,1,0,3
7922,30,1,4,3,3,2,2,0,1,0,1,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,1,-1,1,4,-8.79798017,34.99025617,0,1,0,0,1
4397,18,1,4,1,3,2,1,0,1,0,1,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,1,-1,4,4,-6.29072293,35.88227777,0,0,0,1,1
3170,28,1,2,3,4,2,1,0,1,0,1,0,0,0,0,0,0,0,-1,6,-1,1,6,2,-1,1,-1,1,4,-4.57358799,33.03776076,1,0,1,0,3
6376,35,2,1,5,1,2,2,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,2,-1,2,-1,1,1,1,5,-5.24594851,39.78153458,0,0,0,0,0
5472,50,2,1,3,3,1,2,0,1,0,0,0,0,0,0,1,0,0,-1,1,-1,1,3,2,-1,1,-1,1,1,-3.20246304,37.20556708,1,1,1,0,3
9138,30,2,2,3,3,2,1,0,1,0,1,0,0,0,0,0,0,0,-1,1,-1,2,-1,1,5,5,-1,1,4,-10.75077606,38.53076548,1,0,0,0,2
6020,48,1,1,3,1,2,2,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,2,-1,2,-1,1,-1,1,4,-6.57002874,35.51702142,0,0,0,0,0
8658,23,2,1,3,4,1,2,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,2,-1,2,-1,1,1,1,4,-6.9315708,39.2627114,0,0,0,0,0
919,27,2,1,2,3,2,1,0,1,0,1,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,4,-1,1,4,-5.95904711,36.69328201,0,0,0,0,0
6035,33,2,1,3,2,2,1,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,1,-1,1,1,-10.91989576,39.38172881,0,1,0,0,1
6925,33,1,4,2,5,2,1,0,0,0,0,0,0,0,0,0,1,0,-1,-1,-1,2,-1,2,-1,1,-1,1,4,-1.94038467,32.85856349,0,0,0,0,0
5146,57,1,1,3,1,2,1,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,1,3,1,2,4,-1,1,4,-9.33031317,33.71555106,1,1,1,0,3
1169,42,1,1,7,1,2,1,1,0,0,0,0,0,0,0,0,0,0,2,-1,-1,2,-1,2,-1,5,5,1,1,-3.35037913,37.30188854,1,0,1,1,3
3449,30,1,1,3,5,2,2,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,2,-1,1,4,1,-1,1,1,-3.36559136,33.53726776,1,1,1,0,3
5307,30,1,1,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,2,-1,2,-1,1,-1,1,2,-9.23731241,34.89157655,0,1,1,0,1
1354,29,2,1,4,1,1,1,0,0,1,1,0,0,0,0,0,0,0,-1,-1,1,2,-1,2,-1,1,-1,1,4,-9.49385658,34.65333495,1,0,1,0,3
393,25,2,4,3,5,2,1,0,1,0,0,0,0,0,0,0,0,0,-1,7,-1,1,6,1,2,4,3,1,1,-10.67473747,35.64183403,1,1,1,0,3
558,48,1,4,3,5,2,1,0,0,0,1,0,0,0,0,1,0,0,-1,-1,-1,2,-1,2,-1,1,-1,1,2,-9.93089752,39.72115387,0,0,0,0,0
1624,29,2,2,3,5,2,2,0,1,0,1,0,0,0,0,0,0,0,-1,4,-1,2,-1,2,-1,1,-1,1,4,-3.90304871,35.81426291,0,0,0,0,0
151,44,2,2,3,5,1,1,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,1,3,1,1,5,3,1,3,-6.83370162,39.24087062,1,0,0,0,2
1515,40,1,1,1,3,2,2,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,2,-1,2,-1,1,-1,4,4,-3.62754058,33.40638784,0,0,0,0,0
9233,21,2,1,3,4,2,2,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,2,-1,2,-1,1,-1,5,5,-2.04015789,33.83592211,0,0,1,0,1
5230,47,1,1,2,1,2,2,0,1,0,0,0,0,0,1,0,0,0,-1,1,-1,1,6,1,6,5,-1,4,4,-2.74515319,31.88753692,1,0,1,0,3
862,39,1,2,3,3,2,1,0,1,0,1,0,0,0,0,0,0,0,-1,1,-1,2,-1,1,3,4,-1,1,2,-3.67416708,33.4410097,1,1,1,0,3
3874,51,1,1,3,1,2,1,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,1,3,2,-1,4,5,1,1,-7.75707127,35.48008133,1,1,0,0,3
8078,26,2,3,3,4,2,1,0,1,0,1,0,0,0,0,0,0,0,-1,1,-1,1,2,1,2,5,-1,1,1,-7.2557727,31.39929365,1,1,1,0,3
3920,21,2,1,3,5,2,1,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,1,3,2,-1,1,-1,1,3,-6.17026527,39.22253025,1,1,0,0,3
9188,48,1,1,6,5,2,1,1,0,0,0,0,0,0,0,0,0,0,1,-1,-1,1,4,2,-1,4,5,1,1,-10.51940931,38.67832566,1,1,0,1,3
4551,29,2,1,3,4,1,2,0,1,0,0,0,0,0,0,0,0,0,-1,5,-1,2,-1,2,-1,1,-1,1,2,-8.46032763,32.15847508,0,0,1,0,1
2620,69,1,1,1,1,2,1,0,1,0,1,0,0,0,0,0,0,0,-1,1,-1,2,-1,1,3,1,-1,2,4,-7.68149797,36.03874388,1,0,1,1,3
3975,58,2,2,3,5,2,2,0,1,1,0,0,0,0,0,0,0,0,-1,1,5,2,-1,2,-1,1,-1,1,4,-2.7743338,32.70359252,0,1,1,0,1
1209,36,2,2,3,5,2,1,1,0,0,0,0,0,0,0,0,0,0,3,-1,-1,1,2,2,-1,3,-1,1,4,-1.49823944,33.80838533,1,1,0,0,3
3696,19,1,4,3,5,2,1,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,1,5,2,-1,1,-1,1,4,-4.79615125,38.29238409,1,0,0,0,2
2134,51,2,1,3,3,2,1,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,1,5,2,-1,1,-1,4,4,-2.4168124,32.93534714,1,0,0,0,2
9410,65,1,1,3,1,2,1,0,1,0,1,0,0,0,0,0,0,0,-1,1,-1,2,-1,1,3,3,-1,1,4,-7.28900961,38.99792171,1,0,1,0,3
8259,53,2,1,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,2,-1,1,5,1,-1,4,4,-11.04289071,37.43360887,0,0,0,0,0
4922,52,2,3,3,1,2,2,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,1,-1,4,4,-9.2401144,33.3392101,0,0,0,0,0
4934,60,2,3,1,4,2,1,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,1,-1,4,4,-4.64239636,38.32172276,0,0,0,0,0
5602,34,1,1,2,1,2,1,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,2,-1,2,-1,1,-1,1,2,-8.29548706,31.52009092,0,0,0,0,0
124,50,2,3,3,5,2,1,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,2,-1,2,-1,5,-1,1,4,-6.88544157,39.15487472,1,0,0,0,2
7990,20,2,4,6,3,2,2,0,1,0,0,0,0,0,0,1,0,0,-1,1,-1,2,-1,1,4,1,-1,1,1,-8.58424757,35.20765615,1,0,0,0,2
7735,79,1,1,2,1,2,1,0,1,0,0,0,0,0,0,0,0,0,-1,3,-1,2,-1,2,-1,1,-1,1,4,-2.03701413,33.02725406,0,1,1,1,1
8847,19,1,4,5,4,2,2,1,0,0,0,0,0,0,0,0,0,0,3,-1,-1,2,-1,2,-1,1,-1,1,1,-3.54557136,36.98624673,0,0,0,0,0
804,17,1,4,5,3,2,2,0,0,0,0,0,0,0,0,0,1,0,-1,-1,-1,2,-1,1,5,5,-1,1,1,-10.28169602,40.19747509,1,0,0,0,2
8065,48,2,1,3,1,1,2,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,1,-1,1,4,-9.33519347,34.76612567,0,1,0,0,1
5901,30,2,2,3,3,2,1,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,1,-1,1,4,-11.10779697,39.32546201,0,0,0,0,0
2196,33,1,1,3,4,2,1,0,1,0,0,0,0,0,0,0,0,0,-1,6,-1,2,-1,2,-1,5,-1,1,4,-9.2956571,32.75979208,1,0,1,0,3
187,30,2,2,3,4,2,1,0,0,1,0,0,0,0,0,0,0,0,-1,-1,5,1,2,2,-1,4,1,1,4,-6.8190738,39.23891902,1,1,0,0,3
8676,17,2,4,5,5,2,2,0,0,0,0,0,0,0,0,0,1,0,-1,-1,-1,1,3,2,-1,1,-1,1,4,-8.61632576,39.26433887,0,0,1,0,1
3656,22,1,4,5,3,2,2,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,2,-1,2,-1,1,-1,1,1,-3.14734128,32.36980862,0,0,0,0,0
6728,20,1,4,6,3,2,1,0,0,0,0,0,0,0,0,0,1,0,-1,-1,-1,1,3,1,3,4,-1,1,1,-3.34885542,35.78177151,1,0,1,0,3
7751,57,1,1,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,1,-1,1,4,-5.60573615,36.56213198,0,0,1,0,1
2448,30,2,1,2,5,2,1,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,1,-1,4,4,-1.87536698,33.70180501,0,0,0,1,1
1426,21,2,1,5,5,2,1,0,0,1,0,0,0,0,0,0,0,0,-1,-1,1,1,4,1,4,1,-1,1,1,-6.22058606,39.23271071,1,0,0,0,2
966,36,1,1,3,5,2,1,0,1,0,0,0,0,0,0,0,0,0,-1,2,-1,1,3,2,-1,4,-1,1,4,-4.6137183,34.94999894,1,1,1,1,3
5400,30,2,1,6,4,1,1,1,0,0,0,0,0,0,0,0,0,0,1,-1,-1,1,5,1,2,5,5,1,4,-2.84404439,33.08184245,1,1,1,1,3
2666,74,2,3,3,1,2,2,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,2,-1,2,-1,1,-1,4,4,-7.78092072,35.69345854,0,0,0,0,0
2155,70,1,3,2,5,2,2,0,0,0,1,0,0,0,0,1,0,0,-1,-1,-1,2,-1,2,-1,1,-1,5,4,-3.28253814,32.87852015,0,0,0,0,0
1972,21,2,1,3,3,2,1,0,1,0,0,0,0,0,0,0,0,0,-1,6,-1,2,-1,1,6,1,-1,1,4,-10.77977942,39.54916804,1,1,1,0,3
2123,50,2,1,2,1,1,1,0,1,0,1,0,0,0,0,0,0,0,-1,1,-1,2,-1,1,5,5,-1,4,4,-8.84422538,34.82567814,1,0,0,0,2
7064,42,2,1,1,3,2,2,0,1,0,0,0,0,0,0,1,0,0,-1,1,-1,2,-1,2,-1,1,-1,4,4,-7.11044993,31.1672481,0,0,0,1,1
7074,51,1,1,5,1,2,1,0,1,1,0,1,0,0,0,0,0,0,-1,1,5,2,-1,1,4,1,1,1,1,-10.66317936,38.75113804,1,1,1,1,3
8424,25,1,1,6,5,2,1,0,1,0,0,0,0,0,0,0,0,0,-1,3,-1,1,3,2,-1,5,-1,1,1,-8.63565828,31.4297796,1,0,1,0,3
4487,66,2,1,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,2,-1,1,4,1,-1,4,4,-10.85329033,39.27796148,1,0,0,0,2
3829,32,1,1,3,3,2,2,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,1,-1,1,4,-4.76098716,34.58148382,0,1,1,0,1
190,43,1,1,3,1,1,1,1,0,0,0,0,0,1,0,0,0,0,2,-1,-1,1,3,1,3,4,4,1,1,-6.907859,39.16891368,1,1,0,1,3
1509,42,2,1,3,4,2,1,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,2,-1,1,3,1,-1,1,4,-9.01023669,33.00566594,1,0,0,0,2
8971,25,2,1,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,-1,3,-1,2,-1,2,-1,1,-1,4,4,-1.9593884,35.3481662,0,0,0,0,0
1695,22,1,4,7,5,1,1,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,1,3,1,4,3,3,1,1,-8.9059578,33.46199561,1,1,1,1,3
1468,30,1,1,3,1,2,1,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,1,5,2,-1,4,4,1,4,-10.62934442,35.70397749,1,0,0,0,2
6145,21,2,1,2,3,2,2,0,1,0,1,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,1,-1,1,2,-5.24108321,32.3378338,0,0,0,0,0
2476,44,2,1,7,2,1,1,0,1,0,0,0,0,0,0,0,0,0,-1,6,-1,1,3,1,2,5,5,1,1,-3.35808547,36.68217033,1,1,1,0,3
7818,32,2,1,3,1,2,1,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,1,-1,4,4,-9.40559508,39.59767219,0,0,0,0,0
3421,45,2,3,1,1,2,1,0,1,0,0,0,0,0,0,1,0,0,-1,1,-1,2,-1,1,2,1,-1,4,4,-6.12111736,38.40738057,1,1,0,0,3
9328,43,1,1,3,3,2,1,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,1,4,2,-1,1,-1,1,4,-6.85707122,39.281856,1,0,0,0,2
2149,27,2,2,1,1,2,2,0,1,0,0,0,0,0,0,0,0,0,-1,1,-1,2,-1,2,-1,1,-1,4,4,-3.42071962,30.74115794,0,0,1,0,1
45,21,1,4,6,3,2,1,0,1,0,0,0,0,0,0,0,0,0,-1,5,-1,1,2,1,3,3,4,1,1,-6.79824409,39.24889276,1,1,0,0,3
800,34,1,1,2,4,1,2,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,1,5,2,-1,1,1,2,2,-10.66145048,35.6571607,1,1,0,0,3
