CountryCode,Country,SeriesCode,MDG,Series,1990,Footnotes,Type,1991,Footnotes,Type,1992,Footnotes,Type,1993,Footnotes,Type,1994,Footnotes,Type,1995,Footnotes,Type,1996,Footnotes,Type,1997,Footnotes,Type,1998,Footnotes,Type,1999,Footnotes,Type,2000,Footnotes,Type,2001,Footnotes,Type,2002,Footnotes,Type,2003,Footnotes,Type,2004,Footnotes,Type,2005,Footnotes,Type,2006,Footnotes,Type,2007,Footnotes,Type,2008,Footnotes,Type,2009,Footnotes,Type,2010,Footnotes,Type,2011,Footnotes,Type,2012,Footnotes,Type,2013,Footnotes,Type,2014,Footnotes,Type,2015,Footnotes,Type,2016,Footnotes,Type,2017,Footnotes,Type,2018,Footnotes,Type,2019,Footnotes,Type
660,Anguilla,567,Y,"Proportion of land area covered by forest, percentage",60,,E, , , , , , , , , , , , , , , , , , , , , , , , , , , ,60,,E, , , , , , , , , , , , ,60,,E, , , , , , , , , , , , ,60,,E, , , , , , , , , , , , , , , , , , , , , , , , , , , 
660,Anguilla,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)", , , , , , , , , , , , , , , , , , , , , ,44,,G,47.7,,G,51.3,,G,62.3,,G,95.3,,G,95.3,,G,102.7,,G,121,,G,128.3,,G,143,,G,150.3,,G,150.3,,G,146.7,,G,150.3,,G,143,,G, , , , , , , , , , , , , , , , , , , , , , , , 
660,Anguilla,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",0,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,,C, , , , , , , , , , , , , , , 
28,Antigua and Barbuda,567,Y,"Proportion of land area covered by forest, percentage",22.7,,E, , , , , , , , , , , , , , , , , , , , , , , , , , , ,22.7,,E, , , , , , , , , , , , ,22.2,,E, , , , , , , , , , , , ,22.2,,E, , , , , , , , , , , , , , , , , , , , , , , , , , , 
28,Antigua and Barbuda,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",300.7,,G,289.7,,G,289.7,,G,304.4,,G,311.7,,G,322.7,,G,322.7,,G,337.4,,G,333.7,,G,348.4,,G,344.7,,G,344.7,,G,363,,G,388.7,,G,407,,G,410.7,,G,425.4,,G,469.4,,G,480.4,,G,509.7,,G,524.4,,G,513.4,,G, , , , , , , , , , , , , , , , , , , , , , , , 
28,Antigua and Barbuda,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",0.02,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.02,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.15,,C, , , , , , , , , , , , , , , 
32,Argentina,567,Y,"Proportion of land area covered by forest, percentage",12.7,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,11.6,,C, , , , , , , , , , , , ,11.2,,C, , , , , , , , , , , , ,10.7,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
32,Argentina,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",112613.6,,G,117021.3,,G,121447.4,,G,118609.1,,G,123350.5,,G,122547.5,,G,129217.7,,G,134677.9,,G,137673.8,,G,145488.2,,G,141076.8,,G,132631.7,,G,123266.2,,G,133126.8,,G,156170.2,,G,160952,,G,174237.5,,G,179738,,G,191578.7,,G,180654.8,,G,179000.9,,G,190034.9,,G, , , , , , , , , , , , , , , , , , , , , , , , 
32,Argentina,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",3.25,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,4.28,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5.37,,C, , , , , , , , , , , , , , , 
51,Armenia,567,Y,"Proportion of land area covered by forest, percentage",12.3,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,10.8,,C, , , , , , , , , , , , ,10,,C, , , , , , , , , , , , ,9.3,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
51,Armenia,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)", , , , , , ,4052,,G,2896.9,,G,2966.6,,G,3491,,G,2607.2,,G,3278.3,,G,3406.6,,G,3058.3,,G,3465.3,,G,3542.3,,G,3043.6,,G,3428.6,,G,3645,,G,4352.7,,G,4382.1,,G,5064.1,,G,5559.2,,G,4360.1,,G,4217.1,,G,4961.5,,G, , , , , , , , , , , , , , , , , , , , , , , , 
51,Armenia,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",7.91,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,18.6,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,24.75,,C, , , , , , , , , , , , , , , 
533,Aruba,567,Y,"Proportion of land area covered by forest, percentage",0,,E, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,,E, , , , , , , , , , , , ,0,,E, , , , , , , , , , , , ,0,,E, , , , , , , , , , , , , , , , , , , , , , , , , , , 
533,Aruba,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",1840.8,,G,1928.8,,G,1723.5,,G,1771.2,,G,1763.8,,G,1782.2,,G,1800.5,,G,1837.2,,G,1712.5,,G,1749.2,,G,2321.2,,G,2357.9,,G,2372.5,,G,2416.6,,G,2420.2,,G,2497.2,,G,2497.2,,G,2592.6,,G,2508.2,,G,2522.9,,G,2456.9,,G,2438.6,,G, , , , , , , , , , , , , , , , , , , , , , , , 
533,Aruba,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",0.48,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.48,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.48,,C, , , , , , , , , , , , , , , 
36,Australia,567,Y,"Proportion of land area covered by forest, percentage",20.1,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,20.2,,C, , , , , , , , , , , , ,20,,C, , , , , , , , , , , , ,19.4,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
36,Australia,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",263848,,G,261574.4,,G,268068.7,,G,277478.2,,G,278204.3,,G,281941,,G,302241.5,,G,305838.8,,G,316964.5,,G,325380.2,,G,329480,,G,324877.9,,G,341390.4,,G,336355.6,,G,342776.5,,G,350268.2,,G,357946.9,,G,363795.7,,G,376197.5,,G,382464.4,,G,368170.5,,G,369039.5,,G, , , , , , , , , , , , , , , , , , , , , , , , 
36,Australia,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",6.64,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,8.72,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,29.03,,C, , , , , , , , , , , , , , , 
40,Austria,567,Y,"Proportion of land area covered by forest, percentage",45.8,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,46.5,,C, , , , , , , , , , , , ,46.8,,C, , , , , , , , , , , , ,47.1,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
40,Austria,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",57722.2,,G,61638.6,,G,56688.2,,G,57135.5,,G,57095.2,,G,59827.1,,G,63226.4,,G,62705.7,,G,63717.8,,G,61917.3,,G,62188.7,,G,65786,,G,66977.8,,G,72074.9,,G,72272.9,,G,74278.8,,G,72214.2,,G,69724.3,,G,68752.6,,G,63483.1,,G,67975.2,,G,65202.9,,G, , , , , , , , , , , , , , , , , , , , , , , , 
40,Austria,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",19.18,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,25.57,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,28.35,,C, , , , , , , , , , , , , , , 
31,Azerbaijan,567,Y,"Proportion of land area covered by forest, percentage",11.3,,E, , , , , , , , , , , , , , , , , , , , , , , , , , , ,11.3,,E, , , , , , , , , , , , ,11.3,,E, , , , , , , , , , , , ,11.3,,E, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Azerbaijan,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)", , , , , , ,57678.2,,G,49365.2,,G,42672.9,,G,33479.7,,G,31510.5,,G,29809,,G,31675.5,,G,28576.9,,G,29508.3,,G,28771.3,,G,29614.7,,G,30615.8,,G,32089.9,,G,34337.8,,G,39167.2,,G,30509.4,,G,35503.9,,G,31902.9,,G,30678.1,,G,33457.7,,G, , , , , , , , , , , , , , , , , , , , , , , , 
31,Azerbaijan,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",5.19,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5.8,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13.97,,C, , , , , , , , , , , , , , , 
44,Bahamas,567,Y,"Proportion of land area covered by forest, percentage",51.4,,E, , , , , , , , , , , , , , , , , , , , , , , , , , , ,51.4,,E, , , , , , , , , , , , ,51.4,,E, , , , , , , , , , , , ,51.4,,E, , , , , , , , , , , , , , , , , , , , , , , , , , , 
44,Bahamas,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",1950.8,,G,1782.2,,G,1793.2,,G,1701.5,,G,1686.8,,G,1683.2,,G,1668.5,,G,1364.1,,G,1679.5,,G,1675.8,,G,1668.5,,G,1569.5,,G,1576.8,,G,1518.1,,G,1723.5,,G,1598.8,,G,1521.8,,G,1547.5,,G,1045.1,,G,1642.8,,G,2464.2,,G,1906.8,,G, , , , , , , , , , , , , , , , , , , , , , , , 
44,Bahamas,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",0.22,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.29,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.51,,C, , , , , , , , , , , , , , , 
48,Bahrain,567,Y,"Proportion of land area covered by forest, percentage",0,,E, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,,E, , , , , , , , , , , , ,0,,E, , , , , , , , , , , , ,1.4,,E, , , , , , , , , , , , , , , , , , , , , , , , , , , 
48,Bahrain,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",12665.8,,G,12335.8,,G,11455.7,,G,15702.1,,G,15969.8,,G,16021.1,,G,15621.4,,G,17319.2,,G,18404.7,,G,18019.6,,G,18643,,G,13927.3,,G,15698.4,,G,16468.5,,G,17509.9,,G,19207.7,,G,18830,,G,22013,,G,24011.5,,G,21705,,G,23252.4,,G,23439.5,,G, , , , , , , , , , , , , , , , , , , , , , , , 
48,Bahrain,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",0.1,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.66,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4.41,,C, , , , , , , , , , , , , , , 
50,Bangladesh,567,Y,"Proportion of land area covered by forest, percentage",11.5,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,11.3,,C, , , , , , , , , , , , ,11.2,,C, , , , , , , , , , , , ,11.1,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
50,Bangladesh,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",15533.4,,G,15940.4,,G,17748.3,,G,17407.2,,G,18969.4,,G,22816.1,,G,24029.9,,G,25063.9,,G,24048.2,,G,25236.3,,G,27869.2,,G,32456.6,,G,33707.1,,G,33883.1,,G,39750.3,,G,37553.7,,G,48136.7,,G,46886.3,,G,49581.5,,G,52790.1,,G,56152.8,,G,57069.5,,G, , , , , , , , , , , , , , , , , , , , , , , , 
50,Bangladesh,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",0.55,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.15,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3.41,,C, , , , , , , , , , , , , , , 
52,Barbados,567,Y,"Proportion of land area covered by forest, percentage",18.6,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,18.6,,C, , , , , , , , , , , , ,18.6,,C, , , , , , , , , , , , ,18.6,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
52,Barbados,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",1074.4,,G,1206.4,,G,979.1,,G,1114.8,,G,748.1,,G,828.7,,G,850.7,,G,902.1,,G,1140.4,,G,1210.1,,G,1188.1,,G,1221.1,,G,1228.4,,G,1268.8,,G,1294.5,,G,1353.1,,G,1371.5,,G,1430.1,,G,1628.1,,G,1624.5,,G,1518.1,,G,1565.8,,G, , , , , , , , , , , , , , , , , , , , , , , , 
52,Barbados,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",0,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,,C, , , , , , , , , , , , , , , 
112,Belarus,567,Y,"Proportion of land area covered by forest, percentage",37.5,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,39.9,,C, , , , , , , , , , , , ,40.7,,C, , , , , , , , , , , , ,41.6,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
112,Belarus,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)", , , , , , ,87487.3,,G,74451.1,,G,65914.3,,G,62119,,G,60157.1,,G,59519.1,,G,57597.6,,G,55819.1,,G,53468.5,,G,52595.8,,G,52390.4,,G,53721.6,,G,58037.6,,G,59064.4,,G,61829.3,,G,60281.8,,G,62815.7,,G,60292.8,,G,62221.7,,G,63303.4,,G, , , , , , , , , , , , , , , , , , , , , , , , 
112,Belarus,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",6.51,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,7.18,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8.57,,C, , , , , , , , , , , , , , , 
56,Belgium,567,Y,"Proportion of land area covered by forest, percentage",22.4,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,22,,C, , , , , , , , , , , , ,22.2,,C, , , , , , , , , , , , ,22.4,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
56,Belgium,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",106049.6,,G,110959.8,,G,111968.2,,G,107652.1,,G,112334.9,,G,112327.5,,G,118059.1,,G,115341.8,,G,118374.4,,G,115085.1,,G,114894.4,,G,114315.1,,G,107098.4,,G,114564.4,,G,110908.4,,G,108297.5,,G,106775.7,,G,103215,,G,103882.4,,G,104021.8,,G,109093.3,,G,97765.9,,G, , , , , , , , , , , , , , , , , , , , , , , , 
56,Belgium,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",6.57,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,14.58,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,24.25,,C, , , , , , , , , , , , , , , 
84,Belize,567,Y,"Proportion of land area covered by forest, percentage",69.6,,E, , , , , , , , , , , , , , , , , , , , , , , , , , , ,65.3,,E, , , , , , , , , , , , ,63.2,,E, , , , , , , , , , , , ,61.1,,E, , , , , , , , , , , , , , , , , , , , , , , , , , , 
84,Belize,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",311.7,,G,359.4,,G,355.7,,G,377.7,,G,374,,G,377.7,,G,308,,G,388.7,,G,370.4,,G,601.4,,G,689.4,,G,711.4,,G,366.7,,G,385,,G,396,,G,414.4,,G,432.7,,G,458.4,,G,451,,G,469.4,,G,553.7,,G,550.1,,G, , , , , , , , , , , , , , , , , , , , , , , , 
84,Belize,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",10.08,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,17.82,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18.55,,C, , , , , , , , , , , , , , , 
204,Benin,567,Y,"Proportion of land area covered by forest, percentage",52.1,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,45.8,,C, , , , , , , , , , , , ,43.5,,C, , , , , , , , , , , , ,41.2,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
204,Benin,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",715.1,,G,828.7,,G,905.7,,G,1133.1,,G,1265.1,,G,1327.5,,G,1265.1,,G,1217.4,,G,1213.8,,G,1562.1,,G,1598.8,,G,1815.2,,G,2079.2,,G,2354.2,,G,2508.2,,G,2394.6,,G,3872.4,,G,4495.7,,G,4488.4,,G,4752.4,,G,5152.1,,G,4987.1,,G, , , , , , , , , , , , , , , , , , , , , , , , 
204,Benin,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",18.87,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,19.82,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,22.25,,C, , , , , , , , , , , , , , , 
60,Bermuda,567,Y,"Proportion of land area covered by forest, percentage",20,,E, , , , , , , , , , , , , , , , , , , , , , , , , , , ,20,,E, , , , , , , , , , , , ,20,,E, , , , , , , , , , , , ,20,,E, , , , , , , , , , , , , , , , , , , , , , , , , , , 
60,Bermuda,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",597.7,,G,509.7,,G,407,,G,480.4,,G,473,,G,465.7,,G,476.7,,G,476.7,,G,462,,G,495,,G,495,,G,495,,G,524.4,,G,509.7,,G,671.1,,G,443.7,,G,520.7,,G,517,,G,388.7,,G,465.7,,G,476.7,,G,392.4,,G, , , , , , , , , , , , , , , , , , , , , , , , 
60,Bermuda,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",4.86,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,5.07,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5.07,,C, , , , , , , , , , , , , , , 
64,Bhutan,567,Y,"Proportion of land area covered by forest, percentage",64.6,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,66.8,,C, , , , , , , , , , , , ,68,,C, , , , , , , , , , , , ,69.1,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
64,Bhutan,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",128.3,,G,187,,G,216.4,,G,187,,G,212.7,,G,249.4,,G,304.4,,G,396,,G,385,,G,385,,G,399.7,,G,388.7,,G,418,,G,377.7,,G,308,,G,396,,G,392.4,,G,392.4,,G,421.7,,G,388.7,,G,487.7,,G,561.1,,G, , , , , , , , , , , , , , , , , , , , , , , , 
64,Bhutan,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",14.19,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,35.07,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,47.3,,C, , , , , , , , , , , , , , , 
68,Bolivia,567,Y,"Proportion of land area covered by forest, percentage",57.9,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,55.4,,C, , , , , , , , , , , , ,54.2,,C, , , , , , , , , , , , ,52.7,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , 
68,Bolivia,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)",5526.2,,G,5797.5,,G,6673.9,,G,8063.7,,G,8936.5,,G,9460.9,,G,10014.6,,G,11026.7,,G,11455.7,,G,11243,,G,10223.6,,G,9823.9,,G,9567.2,,G,14129,,G,13083.9,,G,12068.1,,G,14730.3,,G,12445.8,,G,13556.9,,G,14246.3,,G,15350.1,,G,16120.1,,G, , , , , , , , , , , , , , , , , , , , , , , , 
68,Bolivia,616,Y,"Terrestrial and marine areas protected to total territorial area, percentage",8.76,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , ,18.77,,C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,24.83,,C, , , , , , , , , , , , , , , 
70,Bosnia and Herzegovina,567,Y,"Proportion of land area covered by forest, percentage",43.2,,E, , , , , , , , , , , , , , , , , , , , , , , , , , , ,42.7,,E, , , , , , , , , , , , ,42.7,,E, , , , , , , , , , , , ,42.7,,E, , , , , , , , , , , , , , , , , , , , , , , , , , , 
70,Bosnia and Herzegovina,749,Y,"Carbon dioxide emissions (CO2), thousand metric tons of CO2 (CDIAC)", , , , , , ,4136.4,,G,2948.3,,G,3230.6,,G,3428.6,,G,4257.4,,G,8393.8,,G,10594,,G,10377.6,,G,13787.9,,G,13362.5,,G,14301.3,,G,14488.3,,G,15610.4,,G,16204.5,,G,17564.9,,G,17590.6,,G,20087.8,,G,20615.9,,G,21147.6,,G,23747.5,,G, , , , , , , , , , , , , , , , , , , , , , , , 
